Species,Class,PFT1,PFT2,Size_class,Dmin,Dmax,Dint,ncoremin,ncoremax,nshellmin,nshellmax,Vsmin,Vsmax,Veffmin,Veffmax,cimin,cimax,Cimin,Cimax,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,883,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900
Synechococcus sp1,Cyanophyceae,Cyano_blue,Cyano_blue,pico,0.6,2,0.2,1.01,1.05,1.08,1.2,0.1,0.6,0.2,0.6,2,12,150,350,0.04006929,0.040442528,0.040907979,0.041454576,0.042071251,0.042746938,0.043470569,0.044231077,0.045017394,0.045818454,0.046623189,0.047420356,0.048198008,0.04894402,0.049646269,0.050292632,0.050870984,0.051369203,0.051775164,0.052076743,0.052261818,0.052334082,0.052360499,0.052423851,0.05260692,0.052992489,0.053634828,0.054474175,0.055422256,0.056390798,0.057291527,0.058051427,0.058658505,0.059116027,0.059427257,0.05959546,0.0596239,0.059515843,0.059274553,0.058903295,0.058405334,0.057785291,0.057053217,0.056220521,0.05529861,0.054298894,0.053232779,0.052111674,0.050946988,0.049750127,0.048532502,0.047305518,0.046080586,0.044869112,0.043682505,0.042532173,0.041429524,0.040385967,0.039412909,0.038521759,0.037723924,0.037027746,0.036429297,0.035921582,0.035497606,0.035150374,0.034872891,0.034658163,0.034499194,0.03438899,0.034320556,0.034286896,0.034281017,0.034295922,0.034324617,0.034360108,0.034395398,0.034423494,0.034437401,0.034430123,0.034394666,0.034325508,0.034223025,0.034089066,0.033925478,0.033734111,0.033516815,0.033275436,0.033011825,0.03272783,0.0324253,0.032106084,0.03177203,0.031424987,0.031066804,0.030699331,0.030324415,0.029943905,0.029559651,0.0291735,0.028787303,0.028402534,0.028019181,0.027636857,0.027255176,0.026873751,0.026492196,0.026110125,0.025727152,0.02534289,0.024956952,0.024568954,0.024178507,0.023785227,0.023388726,0.022988619,0.022584658,0.022177153,0.021766553,0.021353307,0.020937864,0.020520673,0.020102183,0.019682842,0.0192631,0.018843406,0.018424208,0.018005956,0.017589098,0.017174084,0.016761362,0.016351674,0.015946929,0.01554933,0.015161079,0.014784378,0.014421429,0.014074435,0.013745598,0.01343712,0.013151203,0.012890049,0.012655861,0.012450841,0.012277191,0.012137114,0.012032184,0.011961472,0.011923421,0.011916475,0.011939075,0.011989666,0.012066691,0.012168592,0.012293814,0.012440799,0.01260799,0.012793831,0.012996765,0.013215235,0.013447685,0.01369261,0.013948727,0.014214801,0.014489601,0.014771895,0.01506045,0.015354035,0.015651417,0.015951365,0.016252645,0.016554025,0.016854275,0.01715216,0.01744645,0.017735911,0.018019614,0.01829783,0.018571136,0.018840103,0.019105308,0.019367325,0.019626727,0.019884089,0.020139986,0.020394991,0.02064968,0.020904626,0.021160404,0.021417588,0.021676752,0.021938575,0.02220415,0.022474676,0.022751351,0.023035371,0.023327936,0.023630242,0.023943488,0.024268872,0.024607591,0.024960502,0.025327094,0.025706514,0.026097911,0.026500431,0.026913223,0.027335435,0.027766214,0.028204707,0.028650063,0.029100498,0.029550511,0.029993668,0.030423537,0.030833684,0.031217677,0.031569083,0.03188147,0.032148403,0.032363452,0.032521473,0.032622491,0.032667822,0.032658781,0.032596683,0.032482844,0.032318578,0.032105203,0.031844033,0.031536382,0.031184017,0.030790495,0.030359826,0.029896017,0.029403076,0.028885011,0.028345831,0.027789544,0.027220157,0.026641679,0.026058903,0.025479763,0.024912976,0.024367261,0.023851337,0.023373921,0.022943732,0.022569488,0.022259908,0.02202371,0.021867752,0.021791452,0.021792368,0.021868057,0.022016077,0.022233986,0.022519341,0.0228697,0.023282622,0.023755662,0.02428638,0.024872333,0.025511079,0.026200175,0.026937178,0.027716989,0.028523873,0.029339437,0.030145288,0.030923034,0.031654281,0.032320636,0.032903707,0.033385101,0.033746425,0.033969286,0.034035292,0.033926049,0.033623164,0.033108246,0.032370082,0.031426191,0.030301274,0.02902003,0.027607159,0.026087362,0.024485339,0.02282579,0.021133415,0.019432914,0.017748987,0.016106335,0.014529658,0.013043655,0.011673028,0.010436862,0.009331793,0.008348843,0.007479033,0.006713385,0.006042919,0.005458659,0.004951626,0.004512841,0.004133326,0.003804103,0.003516194,0.003260619,0.003028401,0.002810561,0.002599692,0.00239467,0.002195942,0.002003956,0.001819158,0.001641995,0.001472915,0.001312365,0.001160791,0.001018641,0.000886363,0.000764402,0.000653206,0.000553222,0.000464898,0.000388459,0.000323252,0.000268401,0.000223032,0.000186268,0.000157235,0.000135059,0.000118863,0.000107773,0.000100913,9.74E-05,9.64E-05,9.70E-05,9.83E-05,9.94E-05,9.98E-05,9.91E-05,9.77E-05,9.54E-05,9.25E-05,8.90E-05,8.50E-05,8.06E-05,7.59E-05,7.09E-05,6.57E-05,6.05E-05,5.53E-05,5.02E-05,4.53E-05,4.06E-05,3.63E-05,3.25E-05,2.92E-05,2.65E-05,2.45E-05,2.31E-05,2.23E-05,2.21E-05,2.23E-05,2.30E-05,2.41E-05,2.55E-05,2.71E-05,2.90E-05,3.10E-05,3.31E-05,3.52E-05,3.74E-05,3.94E-05,4.14E-05,4.32E-05,4.47E-05,4.60E-05,4.69E-05,4.75E-05,4.77E-05,4.75E-05,4.71E-05,4.63E-05,4.53E-05,4.40E-05,4.26E-05,4.09E-05,3.91E-05,3.71E-05,3.51E-05,3.29E-05,3.07E-05,2.85E-05,2.63E-05,2.41E-05,2.19E-05,1.98E-05,1.78E-05,1.59E-05,1.42E-05,1.25E-05,1.10E-05,9.61E-06,8.31E-06,7.12E-06,6.02E-06,5.03E-06,4.13E-06,3.32E-06,2.59E-06,1.96E-06,1.40E-06,9.23E-07,5.19E-07,1.87E-07,1.72E-07,1.57E-07,1.42E-07,1.27E-07,1.12E-07,9.76E-08,8.27E-08,6.78E-08,5.29E-08,3.80E-08,2.67E-07,5.27E-07,8.14E-07,1.13E-06,1.46E-06,1.81E-06,2.17E-06,2.55E-06,2.93E-06,3.32E-06,3.70E-06,4.09E-06,4.46E-06,4.83E-06,5.19E-06,5.53E-06,5.85E-06,6.15E-06,6.42E-06,6.66E-06,6.87E-06,7.05E-06,7.18E-06,7.27E-06,7.32E-06,7.34E-06,7.31E-06,7.26E-06,7.17E-06,7.05E-06,6.91E-06,6.74E-06,6.55E-06,6.34E-06,6.12E-06,5.87E-06,5.62E-06,5.36E-06,5.08E-06,4.81E-06,4.53E-06,4.24E-06,3.96E-06,3.69E-06,3.42E-06,3.15E-06,2.90E-06,2.66E-06,2.44E-06,2.23E-06,2.05E-06,1.88E-06,1.75E-06,1.63E-06,1.55E-06,1.50E-06,1.49E-06,1.51E-06,1.56E-06,1.66E-06,1.81E-06,2.00E-06,2.23E-06,2.52E-06,2.86E-06,3.25E-06,3.71E-06,4.22E-06,4.79E-06,5.43E-06,6.13E-06,6.91E-06,7.75E-06
D. brightwelli,Bacillariophyceae,Diatoms,Brown,micro,36,50,2,1.01,1.05,1.08,1.2,0.1,0.6,0.2,0.6,2,12,150,350,0.016442296,0.016411877,0.016410569,0.016432931,0.016473519,0.01652689,0.016587603,0.016650214,0.016709281,0.01675936,0.01679501,0.016812152,0.016812168,0.016797804,0.016771806,0.01673692,0.016695893,0.01665147,0.016606399,0.016563424,0.016525293,0.016494028,0.016468758,0.016447886,0.016429817,0.016412956,0.016395619,0.016375773,0.016351295,0.016320064,0.016279956,0.016229419,0.016169177,0.01610052,0.016024742,0.015943134,0.015856988,0.015767596,0.01567625,0.015584243,0.015492866,0.015403161,0.015315172,0.015228692,0.015143514,0.015059431,0.014976237,0.014893726,0.014811689,0.014729921,0.014648215,0.014566365,0.014484163,0.014401402,0.014317877,0.01423338,0.014147705,0.014060645,0.013971994,0.013881543,0.013789088,0.013694486,0.013597854,0.013499374,0.013399229,0.013297601,0.013194671,0.013090623,0.012985638,0.012879897,0.012773585,0.012666881,0.01255997,0.012453032,0.01234625,0.012239806,0.012133882,0.01202866,0.011924323,0.011821053,0.011719031,0.011618398,0.01151913,0.011421159,0.011324419,0.011228844,0.011134367,0.01104092,0.010948439,0.010856855,0.010766103,0.010676116,0.010586827,0.01049817,0.010410078,0.010322485,0.010235323,0.010148527,0.010062029,0.009975763,0.009889663,0.009803681,0.009717841,0.009632186,0.009546761,0.009461609,0.009376774,0.009292298,0.009208226,0.0091246,0.009041465,0.008958864,0.00887684,0.008795436,0.008714697,0.008634666,0.008555365,0.008476729,0.008398675,0.008321116,0.008243969,0.008167146,0.008090564,0.008014137,0.00793778,0.007861408,0.007784935,0.007708277,0.007631349,0.007554064,0.007476339,0.007398091,0.007319252,0.007239759,0.007159546,0.007078549,0.006996704,0.006913946,0.00683021,0.006745433,0.00665955,0.006572497,0.006484208,0.00639462,0.006303668,0.006211287,0.006117482,0.006022525,0.005926757,0.005830521,0.005734156,0.005638005,0.005542408,0.005447707,0.005354243,0.005262357,0.005172391,0.005084685,0.004999582,0.004917421,0.004838544,0.004763265,0.004691779,0.004624257,0.004560866,0.004501775,0.004447153,0.004397168,0.00435199,0.004311786,0.004276726,0.004246979,0.004222711,0.004204094,0.004191294,0.004184481,0.004183617,0.004187836,0.004196066,0.004207233,0.004220267,0.004234094,0.004247642,0.004259838,0.004269611,0.004275887,0.004277595,0.004273662,0.004263015,0.004244583,0.004217292,0.004180622,0.004136264,0.004086457,0.004033444,0.003979464,0.003926761,0.003877575,0.003834147,0.003798718,0.003773531,0.003760296,0.00375861,0.003767539,0.00378615,0.003813509,0.003848682,0.003890736,0.003938738,0.003991754,0.00404885,0.004109078,0.004171426,0.004234871,0.004298385,0.004360943,0.00442152,0.004479089,0.004532625,0.004581103,0.004623496,0.00465916,0.004688976,0.004714206,0.004736111,0.004755955,0.004774998,0.004794503,0.004815732,0.004839947,0.004868409,0.004901758,0.004938141,0.004975081,0.005010102,0.005040727,0.005064481,0.005078886,0.005081468,0.005069749,0.005041253,0.004994943,0.004935539,0.004869199,0.004802082,0.004740346,0.004690151,0.004657655,0.004649016,0.004670394,0.004727947,0.004826112,0.00496244,0.005132761,0.005332904,0.005558699,0.005805975,0.006070562,0.006348288,0.006634985,0.00692648,0.007218604,0.007507186,0.007788055,0.008057042,0.008309975,0.008543107,0.00875438,0.00894216,0.009104813,0.009240703,0.009348197,0.009425659,0.009471456,0.009483953,0.009461514,0.009402506,0.009305295,0.009168244,0.008989721,0.00876809,0.00850285,0.008198024,0.007858772,0.00749025,0.007097616,0.006686028,0.006260644,0.005826619,0.005389114,0.004953284,0.004524287,0.004107281,0.003707424,0.003329873,0.002979785,0.002661153,0.00237331,0.00211442,0.001882652,0.001676172,0.001493146,0.001331742,0.001190125,0.001066464,0.000958923,0.000865671,0.000784874,0.000714698,0.000653311,0.000598878,0.000549817,0.00050554,0.000465711,0.000429994,0.00039805,0.000369544,0.000344139,0.000321498,0.000301283,0.000283159,0.000266788,0.000251833,0.000237958,0.000224826,0.0002121,0.000199506,0.000187022,0.000174691,0.000162552,0.000150647,0.000139018,0.000127705,0.000116751,0.000106195,9.61E-05,8.64E-05,7.73E-05,6.88E-05,6.09E-05,5.36E-05,4.69E-05,4.10E-05,3.57E-05,3.09E-05,2.68E-05,2.32E-05,2.01E-05,1.75E-05,1.54E-05,1.37E-05,1.24E-05,1.14E-05,1.08E-05,1.06E-05,1.06E-05,1.09E-05,1.14E-05,1.21E-05,1.30E-05,1.40E-05,1.52E-05,1.64E-05,1.78E-05,1.92E-05,2.07E-05,2.22E-05,2.38E-05,2.54E-05,2.70E-05,2.86E-05,3.02E-05,3.17E-05,3.32E-05,3.47E-05,3.60E-05,3.73E-05,3.85E-05,3.95E-05,4.04E-05,4.12E-05,4.19E-05,4.23E-05,4.27E-05,4.29E-05,4.30E-05,4.30E-05,4.28E-05,4.26E-05,4.22E-05,4.18E-05,4.12E-05,4.07E-05,4.00E-05,3.93E-05,3.85E-05,3.77E-05,3.68E-05,3.59E-05,3.50E-05,3.41E-05,3.32E-05,3.22E-05,3.13E-05,3.03E-05,2.94E-05,2.84E-05,2.75E-05,2.65E-05,2.55E-05,2.46E-05,2.36E-05,2.27E-05,2.17E-05,2.08E-05,1.99E-05,1.89E-05,1.80E-05,1.71E-05,1.62E-05,1.53E-05,1.45E-05,1.36E-05,1.28E-05,1.19E-05,1.11E-05,1.04E-05,9.59E-06,8.84E-06,8.12E-06,7.41E-06,6.74E-06,6.08E-06,5.46E-06,4.86E-06,4.28E-06,3.74E-06,3.23E-06,2.75E-06,2.30E-06,1.89E-06,1.50E-06,1.16E-06,8.51E-07,5.81E-07,3.49E-07,1.57E-07,5.74E-09,4.92E-09,4.10E-09,3.28E-09,2.46E-09,1.65E-09,8.30E-10,1.43E-07,3.19E-07,5.27E-07,7.63E-07,1.03E-06,1.31E-06,1.62E-06,1.95E-06,2.29E-06,2.64E-06,3.00E-06,3.37E-06,3.75E-06,4.13E-06,4.50E-06,4.88E-06,5.24E-06,5.60E-06,5.95E-06,6.28E-06,6.60E-06,6.89E-06,7.16E-06,7.41E-06,7.63E-06,7.82E-06,7.98E-06,8.10E-06,8.18E-06,8.22E-06,8.22E-06,8.17E-06,8.07E-06,7.92E-06,7.71E-06,7.45E-06,7.12E-06,6.73E-06,6.28E-06,5.76E-06,5.17E-06,4.50E-06,3.76E-06,2.94E-06,2.03E-06,1.04E-06,1.04E-06
N. oculata,Eustigmatophyceae,Heterokonts,Brown,small_nano,2,5,1,1.01,1.05,1.08,1.2,0.1,0.6,0.2,0.6,2,12,150,350,0.039485187,0.039647363,0.039915737,0.040274941,0.040709605,0.041204359,0.041743834,0.042312661,0.042895469,0.043476891,0.044041556,0.044576117,0.045075322,0.045535939,0.045954737,0.046328486,0.046653954,0.046927912,0.047147128,0.047308371,0.047408411,0.047451475,0.047471627,0.047510389,0.047609282,0.047809829,0.048138529,0.048561793,0.049031008,0.049497562,0.049912844,0.05023666,0.050462491,0.050592239,0.050627803,0.050571085,0.050423985,0.050188404,0.049866242,0.0494594,0.048969778,0.048400292,0.047757916,0.04705064,0.046286451,0.045473341,0.044619297,0.043732309,0.042820366,0.041891458,0.040953572,0.0400147,0.039082829,0.038165949,0.03727205,0.036409119,0.035585147,0.034808123,0.034086035,0.033426873,0.032838627,0.032327101,0.031889373,0.031520335,0.03121488,0.0309679,0.030774289,0.030628939,0.030526744,0.030462595,0.030431387,0.030428011,0.030447361,0.030484329,0.030533809,0.030590693,0.030649874,0.030706245,0.030754699,0.030790128,0.030807426,0.030802263,0.030773419,0.030720454,0.030642926,0.030540393,0.030412414,0.030258548,0.030078352,0.029871386,0.029637208,0.029375376,0.029085449,0.028766986,0.028419544,0.028042683,0.027635961,0.027198936,0.026731167,0.026232213,0.025701632,0.025139724,0.024549757,0.023935739,0.02330168,0.022651588,0.021989473,0.021319344,0.020645209,0.019971079,0.019300961,0.018638864,0.017988799,0.017354773,0.016740797,0.016150878,0.01558818,0.015052479,0.014542706,0.014057792,0.013596666,0.01315826,0.012741503,0.012345327,0.011968662,0.011610438,0.011269586,0.010945036,0.010635719,0.010340565,0.010058504,0.009788586,0.009530333,0.009283384,0.00904738,0.008821962,0.008606769,0.008401442,0.008205621,0.008018946,0.007841059,0.007671598,0.007510204,0.007356517,0.007210179,0.007070828,0.006938232,0.006812655,0.006694492,0.006584135,0.006481975,0.006388406,0.006303819,0.006228607,0.006163163,0.006107879,0.006063146,0.006029359,0.006006909,0.005996187,0.005997588,0.006011293,0.006036643,0.00607277,0.006118804,0.006173877,0.006237121,0.006307665,0.006384641,0.006467181,0.006554416,0.006645476,0.006739493,0.006835599,0.006932923,0.007030598,0.007127765,0.007223607,0.007317318,0.007408094,0.007495126,0.00757761,0.007654739,0.007725708,0.00778971,0.007845939,0.007893589,0.007931855,0.00795993,0.007977008,0.007982283,0.007975775,0.007960803,0.007941512,0.007922047,0.007906553,0.007899175,0.007904058,0.007925348,0.007967188,0.008033725,0.008127937,0.008248144,0.008391498,0.008555152,0.00873626,0.008931975,0.00913945,0.009355838,0.009578292,0.009803966,0.010030125,0.010254482,0.010474864,0.010689097,0.010895006,0.011090418,0.011273159,0.011441055,0.011591932,0.011723616,0.011834273,0.011923426,0.01199094,0.012036678,0.012060504,0.012062282,0.012041875,0.011999148,0.011933965,0.011846188,0.01173635,0.011607656,0.011463978,0.01130919,0.011147165,0.010981776,0.010816896,0.010656398,0.010504155,0.01036404,0.010240549,0.01014067,0.010072016,0.010042198,0.010058827,0.010129516,0.010261875,0.010463517,0.010742052,0.011105094,0.011558061,0.012097607,0.012718191,0.013414277,0.014180323,0.015010792,0.015900145,0.016842841,0.017833344,0.018866112,0.019935608,0.021036293,0.022162627,0.023309072,0.024470088,0.02563809,0.026797309,0.027929928,0.029018131,0.030044102,0.030990025,0.031838084,0.032570463,0.033169345,0.033616914,0.033895355,0.033986851,0.033873586,0.033537744,0.032961508,0.032134788,0.031078391,0.029820848,0.028390691,0.026816452,0.025126663,0.023349856,0.021514563,0.019649315,0.017782645,0.015943083,0.014159163,0.012459416,0.010872373,0.009426568,0.008143877,0.007019566,0.006042247,0.005200532,0.004483031,0.003878357,0.003375121,0.002961935,0.00262741,0.002360158,0.00214879,0.001981919,0.001848156,0.001736112,0.001634399,0.001533624,0.001432376,0.001331237,0.001230793,0.001131626,0.00103432,0.00093946,0.000847629,0.00075941,0.000675388,0.000596146,0.000522268,0.000454337,0.000392938,0.000338655,0.000291878,0.000252233,0.000219154,0.000192071,0.00017042,0.000153632,0.00014114,0.000132377,0.000126776,0.000123771,0.000122793,0.000123276,0.000124652,0.000126356,0.000127818,0.000128577,0.000128583,0.000127892,0.000126559,0.000124639,0.000122188,0.000119261,0.000115912,0.000112198,0.000108174,0.000103894,9.94E-05,9.48E-05,9.01E-05,8.53E-05,8.06E-05,7.60E-05,7.14E-05,6.71E-05,6.30E-05,5.92E-05,5.57E-05,5.24E-05,4.94E-05,4.67E-05,4.41E-05,4.18E-05,3.96E-05,3.77E-05,3.59E-05,3.42E-05,3.27E-05,3.13E-05,3.00E-05,2.88E-05,2.76E-05,2.66E-05,2.55E-05,2.45E-05,2.35E-05,2.25E-05,2.15E-05,2.06E-05,1.96E-05,1.86E-05,1.76E-05,1.67E-05,1.57E-05,1.48E-05,1.39E-05,1.30E-05,1.21E-05,1.12E-05,1.04E-05,9.61E-06,8.84E-06,8.10E-06,7.39E-06,6.71E-06,6.07E-06,5.47E-06,4.91E-06,4.38E-06,3.89E-06,3.44E-06,3.02E-06,2.63E-06,2.27E-06,1.94E-06,1.64E-06,1.37E-06,1.13E-06,9.17E-07,7.28E-07,5.62E-07,4.20E-07,3.00E-07,2.02E-07,1.24E-07,6.47E-08,2.41E-08,6.81E-10,1.09E-09,1.50E-09,2.36E-08,5.89E-08,1.06E-07,1.65E-07,2.33E-07,3.11E-07,3.96E-07,4.89E-07,5.87E-07,6.91E-07,7.98E-07,9.09E-07,1.02E-06,1.13E-06,1.25E-06,1.36E-06,1.47E-06,1.57E-06,1.67E-06,1.77E-06,1.86E-06,1.94E-06,2.02E-06,2.08E-06,2.14E-06,2.18E-06,2.21E-06,2.23E-06,2.24E-06,2.24E-06,2.22E-06,2.20E-06,2.17E-06,2.14E-06,2.09E-06,2.04E-06,1.98E-06,1.92E-06,1.85E-06,1.78E-06,1.71E-06,1.63E-06,1.56E-06,1.48E-06,1.40E-06,1.32E-06,1.24E-06,1.16E-06,1.09E-06,1.02E-06,9.50E-07,8.86E-07,8.28E-07,7.75E-07,7.28E-07,6.88E-07,6.56E-07,6.32E-07,6.17E-07,6.12E-07,6.17E-07,6.32E-07,6.60E-07,7.00E-07,7.52E-07,8.19E-07,8.99E-07,9.95E-07,1.11E-06,1.23E-06,1.38E-06,1.54E-06,1.72E-06,1.92E-06,2.14E-06,2.38E-06
