Species,Class,PFT1,PFT2,Size_class,Dmin,Dmax,Dint,ncoremin,ncoremax,nshellmin,nshellmax,Vsmin,Vsmax,Veffmin,Veffmax,cimin,cimax,Cimin,Cimax,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,883,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900
P. pinguis,Haptophyceae,Haptophytes,Brown,small_nano,5,8,1,1.01,1.05,1.08,1.2,0.1,0.6,0.2,0.6,2,12,150,350,0.024405613,0.024824442,0.025240028,0.025652354,0.026061401,0.026467152,0.026869589,0.027268694,0.027664449,0.028056836,0.028445837,0.028830909,0.029209401,0.029578138,0.029933946,0.030273648,0.030594069,0.030892034,0.031164367,0.031407893,0.031619437,0.031801186,0.031976788,0.03217525,0.032425583,0.032756795,0.033185838,0.033681425,0.034200212,0.034698855,0.035134007,0.035471178,0.035711289,0.035864117,0.035939435,0.03594702,0.035896647,0.035798091,0.035661127,0.035495531,0.035311078,0.035115942,0.034911901,0.03469913,0.034477804,0.034248099,0.034010192,0.033764258,0.033510473,0.033249013,0.032980053,0.03270377,0.032420338,0.032129935,0.031832736,0.031528917,0.031218653,0.030902121,0.030579495,0.030250953,0.02991667,0.029577036,0.029233303,0.028886936,0.028539401,0.028192164,0.02784669,0.027504446,0.027166897,0.026835509,0.026511747,0.026197078,0.025892967,0.02560088,0.025322282,0.025058641,0.02481142,0.024582086,0.024372106,0.024182944,0.024016066,0.023872131,0.023748568,0.023641998,0.023549044,0.023466327,0.023390469,0.023318092,0.023245817,0.023170266,0.023088061,0.022995824,0.022890176,0.022767739,0.022625135,0.022458986,0.022265913,0.022042538,0.021785484,0.021491371,0.021156821,0.020779906,0.020364492,0.019915897,0.019439438,0.018940431,0.018424193,0.01789604,0.01736129,0.016825258,0.016293263,0.01577062,0.015262647,0.01477466,0.014311975,0.01387991,0.013482413,0.013117952,0.012783629,0.012476545,0.012193801,0.011932497,0.011689734,0.011462614,0.011248236,0.011043702,0.010846112,0.010652568,0.01046017,0.010266019,0.010067216,0.009861507,0.00964922,0.009431329,0.009208807,0.008982627,0.008753764,0.008523191,0.008291881,0.008060808,0.007830945,0.007603266,0.007378745,0.007158355,0.006943069,0.006733861,0.006531534,0.006336201,0.006147807,0.005966296,0.00579161,0.005623693,0.00546249,0.005307943,0.005159997,0.005018594,0.004883678,0.004755193,0.004633083,0.00451729,0.004407759,0.004304417,0.004207129,0.004115742,0.004030106,0.003950068,0.003875476,0.003806181,0.003742028,0.003682868,0.003628547,0.003578916,0.003533821,0.003493112,0.003456636,0.003424242,0.003395727,0.003370682,0.003348646,0.003329159,0.00331176,0.003295988,0.003281383,0.003267484,0.00325383,0.003239962,0.003225418,0.003209738,0.003192461,0.003173127,0.003151275,0.003126631,0.003099662,0.003071024,0.003041371,0.003011358,0.00298164,0.002952871,0.002925705,0.002900797,0.002878802,0.002860467,0.002846907,0.002839333,0.002838951,0.002846971,0.002864601,0.00289305,0.002933526,0.002987238,0.003055395,0.003138387,0.003233336,0.003336546,0.003444321,0.003552964,0.00365878,0.003758072,0.003847144,0.003922301,0.003979845,0.004017421,0.004038032,0.004046022,0.004045733,0.00404151,0.004037695,0.004038631,0.004048663,0.004072134,0.004113386,0.00417479,0.004250824,0.004333991,0.004416796,0.004491743,0.004551336,0.00458808,0.004594479,0.004563037,0.004486258,0.00436043,0.00419698,0.004011118,0.003818054,0.003632997,0.003471159,0.003347748,0.003277975,0.003277051,0.003360185,0.003538704,0.003808405,0.0041612,0.004589004,0.005083727,0.005637285,0.00624159,0.006888555,0.007570094,0.008278119,0.009004543,0.00974128,0.010480243,0.011213344,0.011932498,0.012629764,0.013297788,0.013929363,0.014517284,0.015054342,0.015533333,0.015947048,0.016288281,0.016549825,0.016724474,0.016805021,0.016784259,0.016654982,0.016409982,0.016042054,0.01554778,0.014938911,0.014230986,0.013439544,0.012580126,0.011668271,0.010719519,0.00974941,0.008773484,0.007807281,0.006866339,0.0059662,0.005122403,0.004350487,0.003665993,0.003080568,0.002590293,0.002187354,0.00186394,0.001612238,0.001424436,0.001292723,0.001209285,0.00116631,0.001155987,0.001170503,0.001202045,0.001242803,0.001284962,0.001320711,0.001343785,0.001354105,0.001353138,0.001342352,0.001323215,0.001297195,0.001265759,0.001230376,0.001192513,0.001153637,0.001115217,0.001078721,0.001045615,0.001017369,0.000995449,0.000980947,0.000973448,0.000972161,0.000976293,0.000985055,0.000997653,0.001013297,0.001031196,0.001050557,0.001070589,0.001090501,0.001109501,0.001126798,0.001141601,0.001153117,0.00116074,0.001164597,0.001165,0.001162262,0.001156694,0.001148607,0.001138315,0.001126129,0.00111236,0.001097322,0.001081325,0.001064681,0.001047703,0.001030703,0.001013992,0.000997882,0.000982686,0.000968714,0.00095628,0.000945695,0.000937195,0.000930708,0.000926087,0.000923187,0.000921858,0.000921955,0.000923329,0.000925834,0.000929323,0.000933648,0.000938663,0.000944219,0.00095017,0.000956369,0.000962669,0.000968922,0.000974981,0.000980699,0.000985929,0.000990524,0.000994368,0.000997477,0.000999898,0.001001678,0.001002863,0.001003501,0.00100364,0.001003325,0.001002605,0.001001526,0.001000135,0.00099848,0.000996608,0.000994565,0.000992399,0.000990157,0.000987886,0.000985632,0.000983444,0.000981369,0.000979443,0.000977673,0.000976053,0.000974577,0.000973243,0.000972045,0.000970978,0.000970037,0.000969219,0.000968518,0.00096793,0.00096745,0.000967074,0.000966796,0.000966612,0.000966518,0.000966509,0.000966579,0.000966726,0.000966943,0.000967226,0.000967571,0.000967973,0.000968426,0.000968928,0.000969472,0.000970055,0.000970671,0.000971316,0.000971985,0.000972674,0.000973378,0.000974092,0.000974812,0.000975533,0.00097625,0.000976959,0.000977655,0.000978333,0.000978989,0.000979618,0.000980215,0.000980776,0.000981296,0.000981771,0.000982195,0.000982564,0.000982874,0.00098312,0.000983297,0.000983401,0.000983437,0.000983407,0.000983315,0.000983167,0.000982966,0.000982716,0.000982421,0.000982086,0.000981714,0.00098131,0.000980877,0.000980421,0.000979944,0.000979451,0.000978947,0.000978435,0.000977919,0.000977404,0.000976894,0.000976392,0.000975904,0.000975432,0.000974982,0.000974556,0.000974161,0.000973798,0.000973473,0.00097319,0.000972953,0.000972766,0.000972632,0.000972557,0.000972544,0.000972598,0.000972722,0.000972921,0.000973198,0.000973559,0.000974006,0.000974545,0.000975178,0.000975911,0.000976748,0.000977692,0.000978747,0.000979919,0.00098121,0.000982626,0.000984169
T. pseudonana,Bacillariophyceae,Diatoms,Brown,small_nano,5,8,1,1.01,1.05,1.08,1.2,0.1,0.6,0.2,0.6,2,12,150,350,0.01950761,0.01962761,0.019770241,0.019932137,0.020109933,0.020300265,0.020499767,0.020705074,0.020912822,0.021119644,0.021322177,0.02151728,0.021702713,0.021876462,0.022036513,0.02218085,0.022307458,0.022414324,0.022499433,0.022560769,0.022596319,0.022608202,0.022615079,0.022639744,0.022704993,0.02283362,0.023039653,0.023302049,0.023590999,0.023876693,0.02412932,0.024324852,0.024462382,0.024546783,0.024582931,0.024575698,0.024529958,0.024450586,0.024342456,0.024210442,0.024059417,0.023893595,0.023714555,0.023523211,0.023320483,0.023107285,0.022884536,0.022653152,0.022414051,0.022168149,0.021916364,0.021659611,0.02139881,0.021134875,0.020868725,0.020601277,0.020333446,0.020066151,0.019800309,0.019536836,0.019276649,0.019020578,0.018769105,0.018522624,0.018281529,0.018046214,0.017817075,0.017594505,0.017378898,0.017170649,0.016970152,0.016777802,0.016593993,0.016419118,0.016253573,0.016097751,0.015952048,0.015816857,0.015692572,0.015579589,0.015478301,0.015388811,0.015310059,0.015240693,0.01517936,0.01512471,0.01507539,0.015030049,0.014987334,0.014945894,0.014904377,0.01486143,0.014815703,0.014765843,0.014710499,0.014648318,0.014577949,0.014498039,0.014407238,0.014304192,0.014187551,0.014056468,0.013912117,0.013756179,0.013590332,0.013416258,0.013235636,0.013050147,0.012861469,0.012671283,0.012481269,0.012293108,0.012108478,0.01192906,0.011756533,0.011592579,0.011438452,0.011293717,0.01115751,0.011028973,0.010907243,0.010791459,0.010680761,0.010574287,0.010471176,0.010370568,0.010271601,0.010173414,0.010075146,0.009975936,0.009874924,0.009771387,0.009665166,0.009556241,0.009444592,0.009330199,0.009213041,0.009093099,0.008970353,0.008844782,0.008716366,0.008585086,0.008450921,0.008313851,0.008173856,0.008030917,0.007885127,0.007737037,0.007587314,0.007436623,0.007285629,0.007134999,0.006985397,0.00683749,0.006691943,0.006549422,0.006410592,0.00627612,0.00614667,0.006022908,0.0059055,0.005794973,0.0056913,0.005594315,0.005503851,0.005419744,0.005341828,0.005269935,0.005203902,0.005143561,0.005088747,0.005039294,0.004995037,0.004955809,0.004921444,0.004891778,0.004866542,0.00484507,0.004826591,0.004810337,0.004795539,0.004781428,0.004767234,0.00475219,0.004735524,0.00471647,0.004694258,0.004668118,0.004637281,0.00460098,0.004558443,0.00450941,0.00445564,0.004399402,0.004342961,0.004288586,0.004238543,0.0041951,0.004160524,0.004137081,0.00412704,0.004132073,0.00415147,0.004183929,0.004228146,0.004282817,0.004346639,0.004418309,0.004496523,0.004579977,0.004667369,0.004757342,0.004848327,0.004938704,0.005026853,0.005111152,0.00518998,0.005261717,0.005324742,0.005377434,0.005418172,0.005445981,0.005462469,0.00546989,0.005470497,0.005466544,0.005460285,0.005453974,0.005449863,0.005450208,0.00545726,0.005472203,0.005491926,0.005512249,0.005528991,0.00553797,0.005535005,0.005515915,0.005476519,0.005412635,0.005320083,0.005197544,0.005055155,0.004905915,0.004762823,0.004638879,0.004547082,0.004500431,0.004511926,0.004594567,0.004761352,0.005021441,0.005368635,0.005792896,0.006284184,0.00683246,0.007427685,0.008059822,0.008718829,0.00939467,0.010077304,0.010756694,0.011422799,0.012065581,0.012675002,0.013241022,0.013754969,0.01421364,0.014615197,0.014957804,0.015239624,0.015458819,0.015613552,0.015701988,0.015722288,0.015672616,0.015551134,0.015356007,0.015085396,0.014737465,0.014310377,0.013804302,0.013227436,0.012589983,0.011902145,0.011174126,0.01041613,0.009638358,0.008851015,0.008064304,0.007288428,0.006533591,0.005809994,0.005127843,0.004497339,0.003928687,0.003429526,0.00299725,0.002626687,0.002312666,0.002050018,0.001833572,0.001658158,0.001518604,0.001409741,0.001326397,0.001263403,0.001215588,0.001177782,0.001144813,0.001111512,0.001073685,0.001031049,0.0009843,0.000934131,0.000881237,0.000826313,0.000770053,0.000713152,0.000656303,0.000600203,0.000545545,0.000493023,0.000443334,0.000397169,0.000355226,0.000318023,0.000285384,0.000256959,0.000232395,0.000211344,0.000193453,0.000178371,0.000165749,0.000155234,0.000146477,0.000139126,0.00013283,0.000127239,0.000122002,0.000116767,0.000111251,0.000105435,9.94E-05,9.31E-05,8.67E-05,8.01E-05,7.35E-05,6.69E-05,6.04E-05,5.39E-05,4.75E-05,4.13E-05,3.54E-05,2.97E-05,2.44E-05,1.94E-05,1.48E-05,1.07E-05,7.16E-06,4.15E-06,1.73E-06,1.60E-06,1.47E-06,1.35E-06,1.22E-06,1.09E-06,9.60E-07,8.31E-07,7.02E-07,5.73E-07,1.95E-06,3.48E-06,5.12E-06,6.81E-06,8.53E-06,1.02E-05,1.18E-05,1.34E-05,1.47E-05,1.59E-05,1.69E-05,1.76E-05,1.82E-05,1.85E-05,1.87E-05,1.87E-05,1.86E-05,1.83E-05,1.79E-05,1.74E-05,1.68E-05,1.62E-05,1.55E-05,1.47E-05,1.39E-05,1.31E-05,1.23E-05,1.15E-05,1.08E-05,1.00E-05,9.36E-06,8.75E-06,8.19E-06,7.68E-06,7.22E-06,6.80E-06,6.44E-06,6.11E-06,5.83E-06,5.60E-06,5.40E-06,5.24E-06,5.11E-06,5.03E-06,4.97E-06,4.95E-06,4.95E-06,4.99E-06,5.05E-06,5.13E-06,5.24E-06,5.37E-06,5.52E-06,5.69E-06,5.87E-06,6.07E-06,6.28E-06,6.51E-06,6.74E-06,6.98E-06,7.23E-06,7.49E-06,7.75E-06,8.00E-06,8.26E-06,8.52E-06,8.78E-06,9.03E-06,9.27E-06,9.50E-06,9.73E-06,9.94E-06,1.01E-05,1.03E-05,1.05E-05,1.06E-05,1.08E-05,1.09E-05,1.10E-05,1.10E-05,1.11E-05,1.11E-05,1.11E-05,1.10E-05,1.10E-05,1.09E-05,1.08E-05,1.07E-05,1.06E-05,1.05E-05,1.03E-05,1.02E-05,9.99E-06,9.81E-06,9.63E-06,9.45E-06,9.27E-06,9.08E-06,8.90E-06,8.71E-06,8.53E-06,8.35E-06,8.18E-06,8.02E-06,7.87E-06,7.73E-06,7.60E-06,7.48E-06,7.38E-06,7.29E-06,7.23E-06,7.18E-06,7.15E-06,7.15E-06,7.17E-06,7.21E-06,7.28E-06,7.38E-06,7.52E-06,7.68E-06,7.87E-06,8.10E-06,8.37E-06,8.67E-06,9.01E-06,9.39E-06,9.81E-06,1.03E-05,1.08E-05,1.13E-05
P. lutheri,Haptophyceae,Haptophytes,Brown,small_nano,2,4,0.5,1.01,1.05,1.08,1.2,0.1,0.6,0.2,0.6,2,12,150,350,0.054412064,0.054799937,0.055158512,0.055492105,0.055805032,0.056101609,0.056386154,0.056662982,0.05693641,0.057210754,0.05749033,0.057777942,0.058070337,0.058362749,0.058650411,0.058928558,0.059192422,0.059437239,0.059658241,0.059850662,0.060009736,0.060135393,0.060246342,0.060365988,0.060517736,0.060724993,0.061000982,0.061318208,0.061638996,0.061925668,0.06214055,0.062254022,0.062268694,0.06219523,0.062044296,0.061826558,0.061552682,0.061233333,0.060879177,0.060500879,0.060109105,0.059712726,0.059313426,0.058911097,0.058505628,0.058096911,0.057684835,0.057269291,0.056850168,0.056427358,0.056000751,0.055570237,0.055135706,0.054697049,0.054254155,0.053806916,0.053355222,0.052898962,0.052438028,0.051972309,0.051501697,0.051026431,0.050548158,0.050068875,0.049590577,0.049115261,0.048644923,0.048181561,0.04772717,0.047283747,0.046853289,0.046437791,0.046039251,0.045659665,0.045301029,0.04496534,0.044654594,0.044370788,0.044115917,0.04389198,0.043700972,0.043543588,0.043415322,0.043310365,0.043222909,0.043147145,0.043077266,0.043007462,0.042931927,0.042844851,0.042740426,0.042612845,0.042456298,0.042264978,0.042033076,0.041754784,0.041424294,0.041035797,0.040583486,0.040061552,0.039464186,0.038788115,0.0380402,0.037229835,0.036366415,0.035459336,0.034517993,0.03355178,0.032570093,0.031582326,0.030597874,0.029626133,0.028676498,0.027758363,0.026881124,0.026054175,0.025284729,0.024571274,0.023910113,0.023297552,0.022729894,0.022203444,0.021714507,0.021259387,0.020834389,0.020435817,0.020059976,0.01970317,0.019361704,0.019031882,0.01871001,0.018393053,0.018080627,0.01777301,0.01747048,0.017173315,0.016881793,0.016596191,0.016316787,0.016043858,0.015777684,0.015518541,0.015266708,0.015022461,0.01478608,0.014557841,0.01433788,0.014125756,0.013920886,0.013722687,0.013530575,0.013343968,0.013162283,0.012984935,0.012811341,0.01264092,0.012473086,0.012307258,0.012142851,0.011979282,0.011815969,0.011652575,0.01148975,0.01132839,0.011169394,0.011013659,0.01086208,0.010715556,0.010574983,0.010441259,0.01031528,0.010197943,0.010090146,0.009992786,0.009906759,0.009832963,0.009771871,0.009722259,0.009682479,0.009650883,0.009625824,0.009605654,0.009588725,0.009573389,0.009557998,0.009540906,0.009520463,0.009495023,0.009462937,0.009422557,0.009372237,0.009310975,0.009240361,0.009162633,0.009080029,0.008994786,0.00890914,0.008825331,0.008745595,0.008672169,0.008607291,0.008552839,0.008509251,0.008476605,0.008454981,0.008444458,0.008445113,0.008457025,0.008480274,0.008514938,0.008561095,0.008618351,0.008684416,0.008756529,0.008831925,0.008907844,0.008981521,0.009050195,0.009111103,0.009161482,0.009198569,0.009220374,0.009227992,0.009223291,0.009208138,0.009184401,0.009153947,0.009118643,0.009080358,0.009040957,0.009002309,0.008965706,0.008930133,0.008894003,0.008855727,0.008813715,0.00876638,0.008712131,0.00864938,0.008576538,0.008492017,0.008395585,0.008292446,0.008189158,0.008092282,0.00800838,0.00794401,0.007905733,0.00790011,0.007933701,0.008013066,0.008143414,0.00832455,0.008554927,0.008832997,0.009157214,0.00952603,0.0099379,0.010391276,0.010884611,0.011416359,0.011984972,0.012588903,0.013226606,0.013896534,0.01459714,0.015324938,0.016068687,0.016815209,0.017551325,0.018263854,0.018939619,0.019565439,0.020128136,0.02061453,0.021011442,0.021305692,0.021484103,0.021533494,0.021440686,0.021192501,0.020781025,0.02021942,0.019526109,0.018719521,0.017818082,0.016840218,0.015804355,0.01472892,0.013632339,0.012533039,0.011449446,0.010399987,0.009403087,0.008477175,0.007640675,0.00690763,0.006274546,0.005733542,0.005276741,0.004896263,0.004584229,0.00433276,0.004133977,0.003980001,0.003862953,0.003774954,0.003708124,0.003654585,0.003606458,0.003555863,0.003496444,0.003427937,0.003351598,0.003268684,0.003180454,0.003088163,0.002993071,0.002896434,0.00279951,0.002703555,0.002609828,0.002519585,0.002434084,0.002354583,0.002282339,0.002218305,0.002162215,0.002113502,0.002071596,0.002035927,0.002005927,0.001981027,0.001960657,0.001944249,0.001931233,0.00192104,0.001913102,0.001906848,0.001901711,0.00189712,0.001892605,0.001888087,0.001883585,0.001879119,0.001874707,0.001870369,0.001866124,0.00186199,0.001857989,0.001854137,0.001850456,0.001846963,0.001843679,0.001840622,0.001837811,0.001835266,0.001833006,0.00183105,0.001829418,0.001828128,0.001827192,0.001826591,0.001826299,0.00182629,0.001826537,0.001827014,0.001827695,0.001828552,0.001829561,0.001830694,0.001831925,0.001833227,0.001834575,0.001835942,0.001837302,0.001838628,0.001839894,0.001841074,0.00184214,0.001843068,0.001843836,0.001844448,0.001844915,0.001845247,0.001845454,0.001845545,0.001845531,0.001845422,0.001845229,0.00184496,0.001844626,0.001844238,0.001843805,0.001843337,0.001842845,0.001842338,0.001841827,0.001841321,0.001840831,0.001840367,0.001839937,0.001839541,0.00183918,0.001838851,0.001838553,0.001838287,0.001838049,0.001837841,0.001837659,0.001837504,0.001837375,0.001837269,0.001837187,0.001837127,0.001837088,0.00183707,0.00183707,0.001837088,0.001837123,0.001837174,0.00183724,0.00183732,0.001837413,0.001837517,0.001837631,0.001837756,0.001837889,0.001838029,0.001838176,0.001838328,0.001838485,0.001838645,0.001838807,0.00183897,0.001839134,0.001839296,0.001839457,0.001839614,0.001839768,0.001839916,0.001840058,0.001840193,0.00184032,0.001840438,0.001840545,0.00184064,0.001840724,0.001840793,0.001840849,0.001840888,0.001840911,0.001840919,0.001840912,0.001840891,0.001840857,0.001840811,0.001840754,0.001840687,0.00184061,0.001840526,0.001840434,0.001840335,0.001840232,0.001840123,0.001840011,0.001839897,0.001839781,0.001839663,0.001839547,0.001839431,0.001839317,0.001839206,0.001839099,0.001838997,0.0018389,0.001838811,0.001838728,0.001838655,0.001838591,0.001838537,0.001838495,0.001838464,0.001838447,0.001838445,0.001838457,0.001838485,0.00183853,0.001838594,0.001838676,0.001838777,0.001838899,0.001839043,0.00183921,0.0018394,0.001839614,0.001839854,0.00184012,0.001840413,0.001840734,0.001841085
I. galbana2,Prymnesiophyceae,Haptophytes,Brown,small_nano,4,8,1,1.01,1.05,1.08,1.2,0.1,0.6,0.2,0.6,2,12,150,350,0.019661727,0.019973995,0.020266517,0.020542119,0.020803625,0.02105386,0.021295649,0.021531817,0.021765187,0.021998586,0.022234837,0.02247572,0.022718834,0.022960733,0.023197972,0.023427104,0.023644683,0.023847264,0.024031401,0.024193647,0.024330556,0.024442333,0.024543783,0.024653362,0.024789526,0.024970729,0.025208252,0.025484671,0.025775388,0.026055802,0.026301316,0.026492528,0.026630828,0.026722805,0.026775047,0.026794143,0.026786681,0.02675925,0.026718438,0.026670834,0.026623026,0.026580293,0.026542684,0.026508936,0.026477789,0.026447979,0.026418246,0.026387329,0.026353965,0.026316893,0.026274852,0.02622658,0.026170815,0.026106296,0.026031762,0.02594595,0.0258476,0.025735449,0.025608237,0.025464701,0.025303581,0.025124084,0.024927303,0.024714801,0.024488138,0.024248877,0.023998581,0.023738812,0.023471131,0.023197101,0.022918284,0.022636243,0.022352539,0.022068734,0.021786392,0.021507073,0.021232341,0.020963757,0.020702883,0.020451282,0.020210516,0.019981653,0.019763787,0.019555517,0.019355442,0.019162163,0.018974279,0.01879039,0.018609095,0.018428994,0.018248686,0.018066771,0.017881848,0.017692518,0.017497379,0.017295032,0.017084076,0.016863111,0.016630735,0.01638555,0.016126153,0.015851756,0.015564006,0.015265164,0.014957487,0.014643235,0.014324667,0.014004043,0.01368362,0.013365658,0.013052416,0.012746152,0.012449127,0.012163599,0.011891826,0.011636069,0.011397977,0.01117677,0.010971056,0.010779447,0.010600553,0.010432984,0.01027535,0.010126261,0.009984328,0.009848161,0.009716369,0.009587563,0.009460354,0.009333351,0.009205166,0.009074655,0.008941673,0.008806321,0.008668701,0.008528914,0.008387062,0.008243246,0.008097568,0.007950129,0.007801032,0.007650377,0.007498266,0.007344802,0.007190084,0.007034216,0.006877386,0.006720137,0.006563099,0.006406903,0.006252179,0.006099557,0.005949667,0.005803141,0.005660607,0.005522698,0.005390042,0.00526327,0.005143013,0.005029901,0.004924565,0.004827508,0.004738731,0.004658109,0.004585516,0.004520826,0.004463915,0.004414657,0.004372926,0.004338597,0.004311545,0.004291643,0.004278767,0.00427279,0.004273588,0.004281035,0.004294828,0.00431395,0.004337209,0.004363409,0.004391358,0.004419862,0.004447727,0.004473759,0.004496765,0.00451555,0.004528922,0.004535686,0.004534648,0.004524615,0.004504393,0.004473306,0.004432752,0.004384643,0.004330896,0.004273425,0.004214144,0.004154969,0.004097812,0.004044591,0.003997218,0.003957355,0.003925648,0.003902489,0.00388827,0.003883384,0.003888223,0.003903179,0.003928645,0.003965012,0.004012673,0.004071618,0.004140222,0.004216458,0.004298299,0.004383718,0.004470689,0.004557184,0.004641175,0.004720637,0.004793542,0.004858588,0.004917368,0.004972202,0.005025409,0.005079308,0.005136217,0.005198456,0.005268343,0.005348197,0.005440338,0.005545602,0.005658904,0.005773674,0.005883343,0.005981345,0.00606111,0.00611607,0.006139656,0.006125301,0.006066436,0.005959724,0.005814756,0.005644355,0.005461343,0.005278544,0.005108779,0.004964871,0.004859643,0.004805918,0.004816517,0.004901167,0.0050572,0.005278854,0.005560364,0.005895966,0.006279897,0.006706394,0.007169691,0.007664026,0.008183634,0.008722752,0.009275616,0.009836462,0.010399527,0.010959046,0.011509091,0.012043073,0.012554237,0.013035829,0.013481096,0.013883283,0.014235635,0.014531399,0.01476382,0.014926144,0.015011618,0.015013486,0.014924995,0.01473939,0.014449918,0.014053053,0.013558188,0.012977943,0.01232494,0.011611801,0.010851146,0.010055598,0.009237776,0.008410303,0.0075858,0.006776889,0.005996189,0.005256324,0.004569913,0.003949579,0.003404915,0.002933402,0.002529493,0.002187641,0.001902301,0.001667924,0.001478965,0.001329876,0.001215112,0.001129124,0.001066367,0.001021293,0.000988357,0.000962011,0.000936708,0.000907933,0.000875288,0.00083941,0.000800931,0.000760488,0.000718713,0.000676243,0.00063371,0.00059175,0.000550997,0.000512086,0.000475651,0.000442327,0.000412747,0.000387548,0.000367185,0.000351406,0.000339784,0.000331889,0.000327291,0.000325562,0.000326273,0.000328994,0.000333297,0.000338752,0.000344931,0.000351404,0.000357742,0.000363516,0.000368298,0.000371746,0.00037388,0.000374806,0.00037463,0.00037346,0.000371403,0.000368565,0.000365054,0.000360976,0.000356438,0.000351548,0.000346411,0.000341135,0.000335827,0.000330594,0.000325543,0.00032078,0.000316413,0.000312548,0.000309292,0.000306727,0.000304828,0.000303546,0.000302831,0.000302634,0.000302905,0.000303593,0.000304651,0.000306027,0.000307672,0.000309537,0.000311572,0.000313727,0.000315953,0.000318199,0.000320417,0.000322556,0.000324567,0.0003264,0.000328006,0.000329345,0.000330425,0.00033126,0.000331869,0.000332267,0.000332472,0.0003325,0.000332368,0.000332093,0.000331691,0.00033118,0.000330575,0.000329894,0.000329153,0.000328369,0.00032756,0.00032674,0.000325928,0.00032514,0.000324393,0.0003237,0.000323063,0.00032248,0.000321949,0.000321469,0.000321038,0.000320654,0.000320317,0.000320023,0.000319771,0.000319561,0.000319389,0.000319254,0.000319155,0.00031909,0.000319057,0.000319055,0.000319082,0.000319136,0.000319215,0.000319318,0.000319444,0.00031959,0.000319754,0.000319936,0.000320133,0.000320344,0.000320567,0.000320801,0.000321043,0.000321292,0.000321547,0.000321805,0.000322066,0.000322326,0.000322585,0.000322842,0.000323093,0.000323338,0.000323575,0.000323802,0.000324018,0.000324221,0.000324409,0.00032458,0.000324733,0.000324866,0.000324978,0.000325067,0.00032513,0.000325168,0.00032518,0.000325169,0.000325136,0.000325082,0.00032501,0.000324919,0.000324812,0.000324691,0.000324556,0.00032441,0.000324254,0.000324088,0.000323916,0.000323738,0.000323555,0.00032337,0.000323184,0.000322997,0.000322813,0.000322631,0.000322455,0.000322284,0.000322121,0.000321967,0.000321824,0.000321693,0.000321576,0.000321474,0.000321388,0.00032132,0.000321272,0.000321245,0.00032124,0.00032126,0.000321305,0.000321377,0.000321477,0.000321607,0.000321769,0.000321964,0.000322193,0.000322458,0.000322761,0.000323102,0.000323484,0.000323908,0.000324375,0.000324887,0.000325445
